station_code,status,note
mades_open_0325360703,inactive,Costanera Asunción: Station has been shut down by MADES
mades_open_lvafyatdnok8ew,inactive,Estación de Referencia de Parque Guazú: Station has been shut down by MADES
airelibre_d87553,inactive,FP-UNA SAN LORENZO: Station has inconsistent data and will not be used by Respira Paraguay
